date,symbol,model,decision,conviction,confidence,reasoning,signed_return_1d,benchmark_adjusted_1d,signed_return_5d,benchmark_adjusted_5d,signed_return_20d,benchmark_adjusted_20d
2024-05-01,AMD,pead_yahoo,buy,0.102,0.4704,EPS surprise 2.04% after earnings on 2024-04-30; hold 5 trading days,0.013100432062641998,0.003746994231738743,0.06480897322958867,0.031152540467585865,0.1558189163499606,0.11133010056799053
2025-05-07,AMD,pead_yahoo,buy,0.1415,0.4783,EPS surprise 2.83% after earnings on 2025-05-06; hold 5 trading days,0.01335189647012025,0.00638411071868239,0.1729772868152113,0.1258597580063796,0.15275011695718832,0.09590263947161692
2025-11-05,AMD,pead_yahoo,buy,0.124,0.4748,EPS surprise 2.48% after earnings on 2025-11-04; hold 5 trading days,-0.0726797120896786,-0.06195032316455329,0.009987236024959323,0.0014273794077597213,-0.1574142431960489,-0.1674647130842285
2026-02-04,AMD,pead_yahoo,buy,0.799,0.6098,EPS surprise 15.98% after earnings on 2026-02-03; hold 5 trading days,-0.038413518895165866,-0.025924256017934466,0.06688645400045679,0.05847767580386298,-0.003696515730752581,0.0034152242617420114
2026-05-06,AMD,pead_yahoo,buy,0.291,0.5082,EPS surprise 5.82% after earnings on 2026-05-05; hold 5 trading days,-0.030684218286820997,-0.027618113129494692,0.0572153694047004,0.04565958636058465,0.24160514967003444,0.20990842260254894
2024-01-30,SOFI,pead_yahoo,buy,1.0,0.6809,EPS surprise 23.09% after earnings on 2024-01-29; hold 5 trading days,-0.06785710960829183,-0.0515397889731154,-0.07142850655276467,-0.07772318814270007,0.054761911790117246,0.02345144578238001
2024-04-30,SOFI,pead_yahoo,buy,1.0,0.95,EPS surprise 638.00% after earnings on 2024-04-29; hold 5 trading days,0.020648947220246905,0.023896098196656834,0.04129789444049381,0.011097481415437649,0.010324438445142414,-0.03772521307826526
2024-07-31,SOFI,pead_yahoo,buy,1.0,0.95,EPS surprise 60.00% after earnings on 2024-07-30; hold 5 trading days,-0.050397893416902484,-0.036236952570619096,-0.16180368652042054,-0.1034350574894225,-0.006631325064698657,-0.020229462839200907
2024-10-30,SOFI,pead_yahoo,buy,0.758,0.6016,EPS surprise 15.16% after earnings on 2024-10-29; hold 5 trading days,-0.00445634487922375,0.015146756663423688,0.052584682579881026,0.03356782411880754,0.43672018320746164,0.40427245470735573
2025-01-28,SOFI,pead_yahoo,buy,1.0,0.8135,EPS surprise 36.35% after earnings on 2025-01-27; hold 5 trading days,-0.01113174423787855,-0.006648812515025693,-0.05442177552806837,-0.04988927015876787,-0.10513294998417622,-0.08862391607055187
2025-04-30,SOFI,pead_yahoo,buy,1.0,0.95,EPS surprise 93.87% after earnings on 2025-04-29; hold 5 trading days,0.0,-0.007086942026725218,0.03996802484828499,0.028048151351999673,0.052757780602463056,-0.011277295627647899
2025-07-30,SOFI,pead_yahoo,buy,1.0,0.897,EPS surprise 44.70% after earnings on 2025-07-29; hold 5 trading days,0.03246452022072921,0.03621574929803595,-0.018747221720505136,-0.01609931228949346,0.14128935192796144,0.12210771322940728
